ts Jun  8 2016 00:22:57rst:0x1 (POWERON_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)configsip: 0, SPIWP:0xeeclk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00mode:DIO, clock div:1load:0x3fff0030,len:1344load:0x40078000,len:13516load:0x40080400,len:3604entry 0x400805f0device address: 86:17:5B:D5:A9:9A:E2:9C### ANCHOR ###blink; 1 device added ! ->  short:172delete inactive device: 172blink; 1 device added ! ->  short:172from: 172	 Range: 54.74 m	 RX power: -89.49 
: 172	 Range: 54.73 m	 RX power: -90.80 
: 172	 Range: 54.72 m	 RX power: -90.68 
: 172	 Range: 54.73 m	 RX power: -90.70 
: 172	 Range: 54.71 m	 RX power: -91.29 
: 172	 Range: 54.74 m	 RX power: -91.89 
: 172	 Range: 54.77 m	 RX power: -92.22 
: 172	 Range: 54.85 m	 RX power: -91.85 
: 172	 Range: 54.76 m	 RX power: -90.79 
: 172	 Range: 54.79 m	 RX power: -90.86 
: 172	 Range: 54.75 m	 RX power: -90.70 
: 172	 Range: 54.78 m	 RX power: -89.95 
: 172	 Range: 54.70 m	 RX power: -89.64 
: 172	 Range: 54.73 m	 RX power: -89.11 
: 172	 Range: 54.75 m	 RX power: -89.48 
: 172	 Range: 54.73 m	 RX power: -89.22 
: 172	 Range: 54.76 m	 RX power: -89.58 
: 172	 Range: 54.79 m	 RX power: -88.83 
: 172	 Range: 54.73 m	 RX power: -88.45 
: 172	 Range: 54.75 m	 RX power: -88.49 
: 172	 Range: 54.79 m	 RX power: -88.53 
: 172	 Range: 54.81 m	 RX power: -88.78 
: 172	 Range: 54.80 m	 RX power: -89.33 
: 172	 Range: 54.79 m	 RX power: -88.92 
: 172	 Range: 54.78 m	 RX power: -89.82 
: 172	 Range: 54.79 m	 RX power: -89.96 
: 172	 Range: 54.79 m	 RX power: -90.46 
: 172	 Range: 54.81 m	 RX power: -90.04 
: 172	 Range: 54.83 m	 RX power: -89.98 
: 172	 Range: 54.81 m	 RX power: -90.33 
: 172	 Range: 54.82 m	 RX power: -90.50 
: 172	 Range: 54.79 m	 RX power: -90.30 
: 172	 Range: 54.79 m	 RX power: -90.54 
: 172	 Range: 54.80 m	 RX power: -90.46 
: 172	 Range: 54.79 m	 RX power: -90.82 
: 172	 Range: 54.82 m	 RX power: -91.13 
: 172	 Range: 54.77 m	 RX power: -90.85 
: 172	 Range: 54.84 m	 RX power: -90.79 
: 172	 Range: 54.79 m	 RX power: -90.60 
: 172	 Range: 54.81 m	 RX power: -90.58 
: 172	 Range: 54.79 m	 RX power: -90.21 
: 172	 Range: 54.78 m	 RX power: -90.62 
: 172	 Range: 54.79 m	 RX power: -90.28 
: 172	 Range: 54.79 m	 RX power: -89.89 
: 172	 Range: 54.80 m	 RX power: -89.42 
: 172	 Range: 54.80 m	 RX power: -88.69 
: 172	 Range: 54.80 m	 RX power: -89.40 
: 172	 Range: 54.80 m	 RX power: -87.96 
: 172	 Range: 54.81 m	 RX power: -86.80 
: 172	 Range: 54.83 m	 RX power: -84.58 
: 172	 Range: 54.78 m	 RX power: -86.33 
: 172	 Range: 54.82 m	 RX power: -87.25 
: 172	 Range: 54.83 m	 RX power: -84.82 
: 172	 Range: 54.81 m	 RX power: -85.75 
: 172	 Range: 54.85 m	 RX power: -84.37 
: 172	 Range: 54.83 m	 RX power: -84.22 
: 172	 Range: 54.80 m	 RX power: -84.77 
: 172	 Range: 54.84 m	 RX power: -82.62 
: 172	 Range: 54.83 m	 RX power: -83.68 
: 172	 Range: 54.83 m	 RX power: -81.83 
: 172	 Range: 54.86 m	 RX power: -82.04 
: 172	 Range: 54.85 m	 RX power: -80.95 
: 172	 Range: 54.80 m	 RX power: -81.30 
: 172	 Range: 54.86 m	 RX power: -82.24 
: 172	 Range: 54.93 m	 RX power: -81.41 
: 172	 Range: 54.88 m	 RX power: -79.81 
: 172	 Range: 54.81 m	 RX power: -80.92 
: 172	 Range: 54.87 m	 RX power: -78.48 
: 172	 Range: 54.89 m	 RX power: -78.67 
: 172	 Range: 54.83 m	 RX power: -77.85 
: 172	 Range: 54.87 m	 RX power: -77.58 
: 172	 Range: 54.84 m	 RX power: -78.75 
: 172	 Range: 54.75 m	 RX power: -83.83 
: 172	 Range: 54.73 m	 RX power: -85.55 
: 172	 Range: 54.73 m	 RX power: -83.58 
: 172	 Range: 54.74 m	 RX power: -82.77 
: 172	 Range: 54.74 m	 RX power: -87.63 
: 172	 Range: 54.68 m	 RX power: -84.78 
: 172	 Range: 54.74 m	 RX power: -84.95 
: 172	 Range: 54.69 m	 RX power: -87.20 
: 172	 Range: 54.73 m	 RX power: -88.40 
: 172	 Range: 54.72 m	 RX power: -88.20 
: 172	 Range: 54.72 m	 RX power: -86.41 
: 172	 Range: 54.73 m	 RX power: -87.07 
: 172	 Range: 54.71 m	 RX power: -88.93 
: 172	 Range: 54.72 m	 RX power: -88.53 
: 172	 Range: 54.71 m	 RX power: -87.67 
: 172	 Range: 54.73 m	 RX power: -88.51 
: 172	 Range: 54.77 m	 RX power: -86.78 
: 172	 Range: 54.71 m	 RX power: -86.26 
: 172	 Range: 54.76 m	 RX power: -83.94 
: 172	 Range: 54.73 m	 RX power: -85.75 
: 172	 Range: 54.77 m	 RX power: -84.29 
: 172	 Range: 54.74 m	 RX power: -85.05 
: 172	 Range: 54.72 m	 RX power: -87.98 
: 172	 Range: 54.77 m	 RX power: -84.52 
: 172	 Range: 54.72 m	 RX power: -88.22 
: 172	 Range: 54.73 m	 RX power: -86.82 
: 172	 Range: 54.71 m	 RX power: -88.26 
: 172	 Range: 54.72 m	 RX power: -87.02 
: 172	 Range: 54.74 m	 RX power: -88.49 
: 172	 Range: 54.72 m	 RX power: -88.46 
: 172	 Range: 54.74 m	 RX power: -88.14 
: 172	 Range: 54.74 m	 RX power: -87.95 
: 172	 Range: 54.73 m	 RX power: -89.04 
: 172	 Range: 54.72 m	 RX power: -88.72 
: 172	 Range: 54.69 m	 RX power: -88.41 
: 172	 Range: 54.77 m	 RX power: -85.97 
: 172	 Range: 54.78 m	 RX power: -84.91 
: 172	 Range: 54.77 m	 RX power: -82.72 
: 172	 Range: 54.87 m	 RX power: -80.52 
: 172	 Range: 54.82 m	 RX power: -81.82 
: 172	 Range: 54.79 m	 RX power: -82.99 
: 172	 Range: 54.81 m	 RX power: -82.06 
: 172	 Range: 54.76 m	 RX power: -84.70 
: 172	 Range: 54.69 m	 RX power: -88.59 
: 172	 Range: 54.74 m	 RX power: -86.61 
: 172	 Range: 54.75 m	 RX power: -85.65 
: 172	 Range: 54.82 m	 RX power: -79.64 
: 172	 Range: 54.85 m	 RX power: -80.74 
: 172	 Range: 54.83 m	 RX power: -81.01 
: 172	 Range: 54.80 m	 RX power: -82.25 
: 172	 Range: 54.79 m	 RX power: -82.54 
: 172	 Range: 54.87 m	 RX power: -78.51 
: 172	 Range: 54.88 m	 RX power: -78.06 
: 172	 Range: 54.89 m	 RX power: -79.02 
: 172	 Range: 54.91 m	 RX power: -78.25 
: 172	 Range: 54.91 m	 RX power: -78.07 
: 172	 Range: 54.88 m	 RX power: -79.78 
: 172	 Range: 54.88 m	 RX power: -80.50 
: 172	 Range: 54.88 m	 RX power: -78.67 
: 172	 Range: 54.87 m	 RX power: -79.83 
: 172	 Range: 54.88 m	 RX power: -80.43 
: 172	 Range: 54.80 m	 RX power: -83.79 
: 172	 Range: 54.87 m	 RX power: -82.08 
: 172	 Range: 54.84 m	 RX power: -82.73 
: 172	 Range: 54.89 m	 RX power: -79.73 
: 172	 Range: 54.88 m	 RX power: -83.00 
: 172	 Range: 54.82 m	 RX power: -80.33 
: 172	 Range: 54.89 m	 RX power: -79.83 
: 172	 Range: 54.86 m	 RX power: -80.30 
: 172	 Range: 54.86 m	 RX power: -79.52 
: 172	 Range: 54.86 m	 RX power: -80.39 
: 172	 Range: 54.86 m	 RX power: -80.29 
: 172	 Range: 54.89 m	 RX power: -80.46 
: 172	 Range: 54.90 m	 RX power: -79.14 
: 172	 Range: 54.89 m	 RX power: -80.60 
: 172	 Range: 54.90 m	 RX power: -80.54 
: 172	 Range: 54.88 m	 RX power: -78.02 
: 172	 Range: 54.89 m	 RX power: -79.51 
: 172	 Range: 54.89 m	 RX power: -78.63 
: 172	 Range: 54.89 m	 RX power: -78.48 
: 172	 Range: 54.90 m	 RX power: -78.26 
: 172	 Range: 54.86 m	 RX power: -78.43 
: 172	 Range: 54.88 m	 RX power: -78.24 
: 172	 Range: 54.88 m	 RX power: -78.13 
: 172	 Range: 54.88 m	 RX power: -80.97 
: 172	 Range: 54.90 m	 RX power: -79.30 
: 172	 Range: 54.87 m	 RX power: -78.87 
: 172	 Range: 54.87 m	 RX power: -81.16 
: 172	 Range: 54.86 m	 RX power: -79.26 
: 172	 Range: 54.90 m	 RX power: -79.41 
: 172	 Range: 54.87 m	 RX power: -79.41 
: 172	 Range: 54.84 m	 RX power: -78.98 
: 172	 Range: 54.84 m	 RX power: -81.16 
: 172	 Range: 54.88 m	 RX power: -78.81 
: 172	 Range: 54.84 m	 RX power: -81.13 
: 172	 Range: 54.86 m	 RX power: -81.59 
: 172	 Range: 54.82 m	 RX power: -80.54 
: 172	 Range: 54.84 m	 RX power: -80.98 
: 172	 Range: 54.84 m	 RX power: -81.15 
: 172	 Range: 54.86 m	 RX power: -82.26 
: 172	 Range: 54.84 m	 RX power: -81.07 
: 172	 Range: 54.87 m	 RX power: -80.65 
: 172	 Range: 54.82 m	 RX power: -82.05 
: 172	 Range: 54.87 m	 RX power: -80.13 
: 172	 Range: 54.92 m	 RX power: -80.75 
: 172	 Range: 54.87 m	 RX power: -80.59 
: 172	 Range: 54.84 m	 RX power: -80.08 
: 172	 Range: 54.84 m	 RX power: -80.75 
: 172	 Range: 54.90 m	 RX power: -79.38 
: 172	 Range: 54.87 m	 RX power: -80.35 
: 172	 Range: 54.85 m	 RX power: -79.82 
: 172	 Range: 54.86 m	 RX power: -79.65 
: 172	 Range: 54.87 m	 RX power: -79.46 
: 172	 Range: 54.92 m	 RX power: -79.52 
: 172	 Range: 54.87 m	 RX power: -80.34 
: 172	 Range: 54.89 m	 RX power: -81.11 
: 172	 Range: 54.87 m	 RX power: -79.55 
: 172	 Range: 54.88 m	 RX power: -79.29 
: 172	 Range: 54.86 m	 RX power: -79.63 
: 172	 Range: 54.84 m	 RX power: -79.49 
: 172	 Range: 54.87 m	 RX power: -79.52 
: 172	 Range: 54.87 m	 RX power: -81.28 
: 172	 Range: 54.85 m	 RX power: -82.25 
: 172	 Range: 54.86 m	 RX power: -79.84 
: 172	 Range: 54.86 m	 RX power: -78.89 dBm
